jobid,title,primaryresponsibility,primaryperks,primaryrequirement,datecreated,dateupdated,dateactivated,activestatus,expirydate,company,minexp,maxexp,mincompensation,maxcompensation,numberofdays,additionalcompensation,professions,cities
1,Game UX Designer,"<p>As a UX Designer, you will be responsible for the design of casual multiplayer games on platforms like iOS, android, Web.</p><ul><li>Construct engaging and creative gameplay systems with fun features that will improve user experience, engagement, and monetization.</li><li>Transform high- level ideas into detailed and well- thought out concepts.</li><li>Analyze key performance indicators, user testing and feedback, recommend design solutions, and modify game concepts accordingly.</li><li>Remain current on industry trends including: new game genres, new mechanics, and new game design methods.</li><li>Conceptualize games from scratch and co-ordinate with studio teams to build out mockups, wireframes, features, animations and deliver the game on budget and on schedule</li><li>Manage a pipeline of games, engage with new studios, negotiate contracts and collaborate with teams to deliver on game requirements</li></ul>","Directians love their jobs, and not just because we offer the most competitive salaries in the industry. Our excellent benefits include everything from great medical and life insurance to catered meals. Our workspaces are comfortable and fun, complete with bean bag chairs, ping pong tables, and all the snacks you can eat. We have no dress code (tee-shirts are a-ok!). We have flexible work hours and flexible holidays, which means that teams pick their own work hours. Directi has its own concierge desk that doubles up as a travel agency.

We are passionate about building the next generation of web products, and we believe that happy Directians are the key to achieving this goal. If you like the idea of working in an exciting workspace on cutting-edge internet products that make a truly global impact (and wearing flip-flops to work), then we want to get to know you!","<ul><li>Has a long- standing passion for playing games of multiple genres and platforms and a solid background in video games and free- to- play games.</li><li>Understanding of viral design, retention, and monetization techniques for games with a virtual goods economy and business model.</li><li>Solid understanding of popular mobile, casual, and social games - recognizes what makes them fun.</li><li>5+ years of Game Design experience with products shipped; at least 2 years with mobile, social, or tablet.</li><li>Strong knowledge of Photoshop, Illustrator, Flash etc...</li><li>Experience in graphic design, typography, sketching, wireframes & flows.</li><li>Degree in Engineering or coding experience is preferred</li></ul>",1/15/2017 18:00,1/5/2018 9:42,NULL,1,1/4/2018 9:42,Directi - Stealth,72,120,NULL,NULL,NULL,NULL,Game Design$$$UX Design$$$Interaction Design,Mumbai
2,Game Visual Designer,"<p>As a Game Artist you will create and own the core UI/UX or a diverse set of games. You must possess excellent communication (both written & verbal) and time management skills to ensure efficient execution with various departments i.e. Tech, Design, QA, Marketing. Your responsibilities will involve:</p><ul><li>End to end UI/UX & creative direction of a game including concepts, backgrounds, characters, layouts, typography, animations</li><li>Own the complete game art - concept, production and beyond</li><li>Be proficient in use of the Adobe CS. Knowledge of 3DS Max/Maya is a huge plus</li><li>Work independently in a fast paced environment to rapidly prototype game concepts and designs</li><li>Assist in creating editorial content, marketing materials, descriptions, and promotional content</li><li>Visualizing a theme and adapting game elements and assets on the same</li><li>Remain up to date on industry trends and best practices</li></ul>","Directians love their jobs, and not just because we offer the most competitive salaries in the industry. Our excellent benefits include everything from great medical and life insurance to catered meals. Our workspaces are comfortable and fun, complete with bean bag chairs, ping pong tables, and all the snacks you can eat. We have no dress code (tee-shirts are a-ok!). We have flexible work hours and flexible holidays, which means that teams pick their own work hours. Directi has its own concierge desk that doubles up as a travel agency.

We are passionate about building the next generation of web products, and we believe that happy Directians are the key to achieving this goal. If you like the idea of working in an exciting workspace on cutting-edge internet products that make a truly global impact (and wearing flip-flops to work), then we want to get to know you!","<ul><li>Bachelor's Degree in any art discipline. Game design/art degree or diploma is a big plus</li><li>2-6 years of gaming industry experience creating game art for high quality social/casino mobile games</li><li>Expert level skills in game UI designing with Adobe CS - Flash/Photoshop/Illustrator</li><li>Proficient in creating Flash animations and graphics</li><li>Expert in drawing and in creating endearing game characters and backgrounds with a superlative portfolio of international style art work</li><li>Should possess good knowledge of perspectives.</li><li>Prior hands-on experience in art creation for social games is a huge plus.</li><li>Must have worked on at least one top notch production game title from concept to ship with 1M+ downloads</li><li>Passion for games and High product ownership - Ability to work independently, cleverly, and meet deadlines under pressure.</li><li>Strong and effective communication (written and oral).</li><li>Experience in and strong understanding of Free-to-Play model with deep expertise in creative exciting new art styles.</li><li>Must demonstrate strong passion towards mobile games and strong aesthetics to design world class games</li></ul>",1/15/2017 18:00,1/5/2018 9:39,NULL,1,1/4/2018 9:39,Directi - Stealth,36,72,NULL,NULL,NULL,NULL,UI Design$$$Game Design$$$Visual Effects (VFX)$$$Motion Graphics,Mumbai
3,Senior Graphic Designer,"<p>We are looking for a graphic designer with a strong inclination towards branding, social media and digital designs to create Icons, Social Media marketing campaigns and web designs / info-graphics. You will be expected to come up with creative ways of turning our digital marketing strategy into digital media assets.</p>
<ul>
<li>Design stunning marketing collaterals such as digital and mobile banners, print collaterals such as brochures, leaflets, posters</li>
<li>Design imagery for email, social media campaigns and contests</li>
<li>Understanding the requirements and coming up with design options</li>
<li>Develops site content and graphics by coordinating with copywriters and graphic artists; designing images, icons, banners, audio enhancements, etc.</li>
<li>Conceptualizing and executing content marketing initiatives</li>
<li>Contribute to the overall marketing process</li>
</ul>",,"<p>The ideal candidate should have an eye for clean and artful design, possess superior graphic designing skills and be able to translate high-level requirements into outstanding visuals. ​</p>
<ul>
<li>2 to 5 years of experience as a graphic / communication designer</li>
<li>Demonstrable graphic design skills with a strong portfolio</li>
<li>Creative flair, originality and a strong visual sense</li>
<li>Experience / knowledge working with Adobe creative suit (Photoshop, Illustrator, InDesign)</li>
<li>Knowledge in Video/Audio editing tools will be a plus</li>
<li>A matter-of-fact approach when ideas or designs are rejected</li>
<li>Understanding of or experience in UX/UI design/web design will be an added advantage</li>
<li>Excellent visual design skills with sensitivity to user-system interaction​</li>
<li>Basic understanding of advertising and/or digital marketing</li>
<li>Excellent attention to detail</li>
<li>An eye for photography</li>
<li>Arts / Design graduates preferred</li>
</ul>",1/15/2017 18:00,1/5/2018 11:27,NULL,1,NULL,BYJU'S App,24,60,NULL,900000,5,NULL,Branding$$$Graphic Design$$$Illustration$$$Typography,Bengaluru
4,Graphic Designer,"<p>You will be expected to come up with creative ways of turning our digital marketing strategy into digital and print media assets</p><ul><li>Create engaging concepts and visually appealing designs for the highest level of connect with the target groups across all channels (Digital, Print, Social Media, Web)</li><li>Design imagery for email, social media campaigns and contests</li><li>Design offline marketing collateral such as brochures, billboards and visiting cards</li><li>Translate written ad briefs or wireframes into finished ads</li><li>Develop the design rationale and explain visual choices to cross-functional teams</li><li>Create assets that reflect a brand and enforce the common design language of Edureka</li><li>Brainstorm in creative meetings to understand requirements and advise with creative ideas</li></ul>",NULL,<ul><li>1 to 4 years of hands-on experience in crafting marketing ideas in beautiful visuals</li><li>Extensive Hands-on experience in Branding and Marketing designs</li><li>Show creativity to bring in smart ideas and deliver the punch required in good marketing communication</li><li>Keen eye for photography and visual designing</li></ul>,1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,Edureka,12,36,400000,600000,NULL,NULL,Branding$$$Graphic Design$$$Illustration$$$Typography,Bengaluru
5,"Design Lead, Marketing","<p>As a Design Lead, you will spearhead the team responsible for delivering clutter-breaking online and offline campaigns with the marketing team. Working closely with the creative head and the rest of the marketing team, you will bring our creative communication and marketing campaigns alive and will be supporting various other teams in their design requirements. You will be working with a team of passionate designers to lead the entire cycle from creative concept to messaging to campaign creation and execution.
On a day to day basis, you will be working on</p><ul><li>New design concepts to support marketing</li><li>Inspiring creativity among the designers</li><li>Pushing the design team to achieve high quality output</li><li>Ensuring timely delivery of all social media and digital campaign designs</li><li>Ensuring clutter-breaking creatives for strategic marketing campaigns</li><li>Leading regular tactical campaigns with the designers</li><li>Allocation of work among the designers and time management</li><li>Delivering out-of-the-box designs, in line with Treebo’s brand language</li><li>Ensuring consistency in all design elements across media</li><li>Being the guardian of Treebo’s visual brand language across all consumer touch-points</li></ul>","Talented and motivated co-workers in a fun office environment
Flexible Work options
Never have a boring Day!
Competitive Salary
Create clutter-breaking designs for a much loved brand
30 room nights of Treebo credits every year
Unlimited vacation policy; work hard and take time when you need it",<ul><li>At least 4 years of experience in creative campaigns</li><li>Experience in creating and managing brand language and identity</li><li>Experience in managing a team of designers and artists</li><li>Strong design knowledge and experience with offline and online media</li><li>Strong communication and team management skills</li><li>Good knowledge of project management and multi-tasking</li><li>Expertise in Adobe Suite and other design software</li><li>Keen eye for good quality visual designing</li><li>High commitment levels to be a part of a fast-paced industry-defining startup</li><li>Education in communication / visual design is an added advantage</li></ul>,1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,Treebo Hotels,60,84,1500000,1800000,NULL,NULL,Art Direction$$$Branding$$$Creative Direction$$$Graphic Design$$$Print Design,Bengaluru
5,"Design Lead, Marketing","<p>As a Design Lead, you will spearhead the team responsible for delivering clutter-breaking online and offline campaigns with the marketing team. Working closely with the creative head and the rest of the marketing team, you will bring our creative communication and marketing campaigns alive and will be supporting various other teams in their design requirements. You will be working with a team of passionate designers to lead the entire cycle from creative concept to messaging to campaign creation and execution.
On a day to day basis, you will be working on</p><ul><li>New design concepts to support marketing</li><li>Inspiring creativity among the designers</li><li>Pushing the design team to achieve high quality output</li><li>Ensuring timely delivery of all social media and digital campaign designs</li><li>Ensuring clutter-breaking creatives for strategic marketing campaigns</li><li>Leading regular tactical campaigns with the designers</li><li>Allocation of work among the designers and time management</li><li>Delivering out-of-the-box designs, in line with Treebo’s brand language</li><li>Ensuring consistency in all design elements across media</li><li>Being the guardian of Treebo’s visual brand language across all consumer touch-points</li></ul>","Talented and motivated co-workers in a fun office environment
Flexible Work options
Never have a boring Day!
Competitive Salary
Create clutter-breaking designs for a much loved brand
30 room nights of Treebo credits every year
Unlimited vacation policy; work hard and take time when you need it",<ul><li>At least 4 years of experience in creative campaigns</li><li>Experience in creating and managing brand language and identity</li><li>Experience in managing a team of designers and artists</li><li>Strong design knowledge and experience with offline and online media</li><li>Strong communication and team management skills</li><li>Good knowledge of project management and multi-tasking</li><li>Expertise in Adobe Suite and other design software</li><li>Keen eye for good quality visual designing</li><li>High commitment levels to be a part of a fast-paced industry-defining startup</li><li>Education in communication / visual design is an added advantage</li></ul>,1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,Treebo Hotels,60,84,-1,-1,NULL,NULL,Art Direction$$$Branding$$$Creative Direction$$$Graphic Design$$$Print Design,Bengaluru
6,Brand Illustrator,NULL,"Competitive Salary
Employee Stock Options
30 room nights of Treebo credits every year
Talented and motivated co-workers in a fun office environment
Unlimited vacation policy; work hard and take time when you need it.","<p>You have experience with visual storytelling including editorial illustration and can you make our products delightful</p><ul><li>Have the ability to translate complex technology concepts into simple and delightful illustrations</li><li>Executing on and chipping in to the continued refinement of Treebo’s visual language</li><li>Have great taste and a passion for craft</li><li>Have a strong portfolio of digital products that you've designed and helped ship</li><li>Are slick with all the usual tools of the trade. Extra nice (but not obligatory) would be some prototyping and motion design</li><li>Thrive in a Lean UX culture</li><li>Love collaborating in multi-disciplinary teams. You’ll be working across our design, product and development teams, shaping how the world sees, perceives and interacts with us.</li></ul>",1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,Treebo Hotels,24,72,-1,-1,NULL,NULL,Branding$$$Digital Art$$$Illustration$$$Graphic Design$$$Icon and Logo Design,Bengaluru
7,Creative Director,"As Creative Director at OYO, you will be responsible for the portrayal of OYO’s visual identity in coherence with business requirements and the brand identity, across digital and physical platforms. The Creative Director is also expected to oversee the visual graphics team comprising junior graphic designers. Whether it is getting the brand tone right or developing expansive/innovative campaigns or designing classy brochures, the creative design team is dedicated to making sure everything that OYO publishes, looks and feels amazing.",NULL,"<p>You will be able to make this role your own if you possess:</p><ul><li>8+ years of relevant experience, with a minimum of 3 years managing a team of graphics/visual designers and leading visual design development for a consumer oriented design environment</li><li>Comprehensive knowledge of Adobe Photoshop, Illustrator, Corel Draw and any other design tools necessary</li><li>Experience in developing designs for both online and offline channels</li><li>Comfort working in a chaotic, fast paced, dynamic environment with lack of predictability</li><li>The experience and/or understanding of how to create a visual identity from scratch</li><li>Great understanding of consumers and how to build a strong connect with them</li><li>Experience working with cross-functional business teams; strong grasp of understanding business requirements and translating to visual identity</li><li>Experience in project/team management</li></ul>",1/15/2017 18:00,1/5/2018 9:43,NULL,1,1/4/2018 9:43,OYO Rooms,120,144,NULL,NULL,-1,NULL,Art Direction$$$Branding$$$Creative Direction$$$Graphic Design$$$Print Design,Gurgaon
8,"Visual Designer, Marketing","OYO is looking for designers to help support its experienced graphic design team for creating simple, engaging and extremely intuitive graphic designs. Whether it is innovative campaigns (marketing and others) or quirky social media posts or classy brochures, our graphic design team is dedicated to making sure everything that OYO launches looks and feels amazing.",NULL,"<p>YOU have…</p><ul><li>The imagination to sketch an idea, a concept, or a character</li><li>An eye for detail, vivid colors and pixel-perfection</li><li>A burning desire to work for an innovative startup and contribute to change</li><li>OYO is looking for YOU.
YOU - The Illustrator
YOU - The Digital Marketeer
YOU - The Communicator
YOU - The Hustler</li><li>You have at least 2 years of experience with creative campaigns</li><li>Keen eye for good quality visual designing</li><li>Hands-on experience in creating various design elements across online and offline media</li><li>High commitment levels to be a part of a fast-paced industry-defining startup</li><li>Education in communication / visual design is an added advantage</li></ul>",1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,OYO Rooms,36,60,-1,-1,-1,NULL,Branding$$$Graphic Design$$$Illustration$$$Typography,Gurgaon
9,Graphic Designer,"<p>We are looking for a Design Professional who can play a pivotal role in driving the product marketing initiatives across Digital and offline channels in a new generation startup. You will be working closely with the marketing team to create campaign visuals and build a strong understanding of our user base.
On a day to day basis, you will be working on:</p><ul><li>Social Media and Digital Campaigns</li><li>Creatives for Strategic Marketing Campaigns</li><li>Tactical Campaigns – Topical, Festivals, Events</li><li>Outdoor and Print – Banners, Posters, Other Collaterals</li><li>Communication Design – Emailers & Partner Communication</li><li>Visual Design and Brand Language</li></ul>",NULL,"<ul><li>1 to 3 years of relevant experience in graphic design</li><li>Experience in working with technology product start-ups in the internet and mobile space</li><li>Ability to conceptualize and develop interesting communication messages and ads for the online customers</li><li>Ability to conceptualize and design products and communication message with a desire to build the best ever product/marketing message in the market</li><li>Highly passionate and enthusiastic about technology product design in the internet and mobile space. Eat, Sleeps, Drinks and Lives Design</li><li>Highly motivated to work in a startup with little support but with a vision to build the next multimillion dollar company</li></ul>",1/15/2017 18:00,10/6/2017 7:17,NULL,1,10/5/2017 17:12,Appilyever,12,36,250000,300000,NULL,NULL,Branding$$$Graphic Design$$$Illustration$$$Typography,Hyderabad
