company,1,2,3,4,5,6,7,8,9,10,11,12,13,14,maxcompensation
CrewKarma Networks,0,0,1,0,0,0,0,0,0,0,0,0,0,132,"1,455,526.00"
Quovantis Technologies,0,0,0,0,1,0,0,0,0,0,0,0,0,180,"691,294.00"
Curocarte,0,0,0,0,0,0,0,0,1,0,0,0,0,144,"1,952,953.00"
Sigtuple,1,0,0,0,0,0,0,0,0,0,0,0,0,72,"320,300.00"
Ernst & Young,0,0,0,0,0,0,0,0,0,0,0,0,1,180,"2,162,121.00"
HDFC Red,0,0,0,0,0,0,0,0,1,0,0,0,0,96,"2,909,210.00"
Synaptic,0,0,0,0,0,1,0,0,0,0,0,0,0,60,"2,432,546.00"
Travel Triangle,0,0,0,0,0,1,0,0,0,0,0,0,0,96,"1,801,035.00"
KPIT Technologies,0,0,0,0,0,0,0,0,0,0,0,1,0,96,"452,389.00"
Redbus,0,0,1,0,0,0,0,0,0,0,0,0,0,120,"2,933,989.00"
Ather Energy,1,0,0,0,0,0,0,0,0,0,0,0,0,84,"3,119,257.00"
PayTM,0,0,1,0,0,0,0,0,0,0,0,0,0,180,"3,879,675.00"
Springer Nature,0,0,0,0,0,0,0,0,0,0,0,1,0,96,"2,536,040.00"
Ernst & Young,0,0,0,0,0,0,0,0,0,0,0,0,1,96,"2,706,490.00"
BuyHatke,0,0,1,0,0,0,0,0,0,0,0,0,0,96,"3,698,123.00"
VideoKen,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"2,017,129.00"
MoEngage,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"3,123,783.00"
YUJ Designs,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"2,453,717.00"
Gravity Consulting,0,0,1,0,0,0,0,0,0,0,0,0,0,84,"1,584,474.00"
Anther Human Resource Solutions,0,0,1,0,0,0,0,0,0,0,0,0,0,144,"1,623,484.00"
Here Solutions,0,0,0,0,0,0,0,0,1,0,0,0,0,108,"2,643,872.00"
Hopscotch,0,0,0,0,0,0,0,0,1,0,0,0,0,120,"1,438,031.00"
BuyHatke,0,0,1,0,0,0,0,0,0,0,0,0,0,72,"3,809,393.00"
Treebo Hotels,0,0,1,0,0,0,0,0,0,0,0,0,0,84,"2,282,077.00"
Think Design,0,0,1,0,0,0,0,0,0,0,0,0,0,144,"3,166,743.00"
Think Design,0,0,0,0,0,0,1,0,0,0,0,0,0,144,"640,718.00"
Clay Consulting,1,0,0,0,0,0,0,0,0,0,0,0,0,84,"1,958,721.00"
EFI India,1,0,0,0,0,0,0,0,0,0,0,0,0,108,"3,883,199.00"
