title,maxexp,company,cities,maxcompensation
UX Designers,132,CrewKarma Networks,Bengaluru,10000000
Head of Design,180,Quovantis Technologies,Delhi,4000000
Lead Product Designer ,144,Curocarte,Mumbai,3000000
Senior UI Architect,72,Sigtuple,Bangalore,3000000
Experience Manager,180,Ernst & Young,Thiruvananthapuram,3000000
Lead Designer,96,HDFC Red,Mumbai,2500000
Senior UI/UX Designer,60,Synaptic,Gurgaon,2500000
Senior UI/UX Designer,96,Travel Triangle,Gurgaon,2500000
UX Lead,96,KPIT Technologies,Pune,2500000
"Team Lead, UI Development",120,Redbus,Bengaluru,2200000
Senior Product Designer,84,Ather Energy,Bangalore,2200000
Art Director/Creative Lead,180,PayTM,Bengaluru,2200000
Senior UX Designer,96,Springer Nature,Pune,2000000
Senior Experience Designer,96,Ernst & Young,Thiruvananthapuram,2000000
Lead / Senior UI Designer,96,BuyHatke,Bengaluru,2000000
User Experience Designer,72,VideoKen,Bengaluru,2000000
User Experience Designer,72,MoEngage,Bengaluru,2000000
Senior Visual Experience Designer,72,YUJ Designs,Bengaluru,2000000
Lead / Senior UX Designer,84,Gravity Consulting,Bengaluru,2000000
Creative Director,144,Anther Human Resource Solutions,Bengaluru,2000000
Senior UX Designer,108,Here Solutions,Mumbai,2000000
Associate Creative Director,120,Hopscotch,Mumbai,2000000
Senior Frontend Developer,72,BuyHatke,Bengaluru,2000000
"Design Lead, Marketing",84,Treebo Hotels,Bengaluru,1800000
UX Lead,144,Think Design,Bengaluru,1800000
UX Lead,144,Think Design,Hyderabad,1800000
Lead / Senior Visual Designer,84,Clay Consulting,Bangalore,1800000
Principal / Senior UX Designer,108,EFI India,Bangalore,1800000
Senior UI / UX Designer,72,Pensaar Designs,Bengaluru,1800000
Interaction Designer,84,Cisco,Bengaluru,1800000
Creative Head,180,Creative Sprout Media,Hyderabad,1700000
Senior Front-End Developer,84,MoEngage,Bengaluru,1600000
UX Designer,48,IndiaMart,Noida,1600000
Sr. Frontend Developer,36,RentoMojo,Bengaluru,1600000
UX Designer,48,Above Solutions,Bengaluru,1600000
Senior UI/UX Designer,60,Robosoft Technologies,Mumbai,1600000
Senior Web Developer,96,Codecraft Technologies,Bengaluru$$$Mangalore,1600000
Senior Information Designer,72,Gramener,Delhi,1600000
Senior Frontend Developer,60,myPAT,Delhi,1600000
Sr. Communications Designer,84,AICL Communications,Mumbai,1500000
Communications Designer,36,AICL Communications,Kolkata,1500000
Sr. Communications Designer,84,AICL Communications,Kolkata,1500000
Sr. Creative Associate,96,BYJU'S App,Bengaluru,1500000
Sr. UX Designer,72,Healthi.in,Bengaluru,1500000
Sr. UX Designer,60,No Broker,Bengaluru,1500000
UI Designer,60,Ather Energy,Bangalore,1500000
iOS Developer,60,No Broker,Bengaluru,1500000
Art Director,96,ChargeBee,Chennai,1500000
UI Designer,60,Travel Triangle,Gurgaon,1500000
"Product Designer, UI",48,Get My Parking,Bengaluru,1500000
UI / UX Designer,60,Finovera,Bengaluru,1500000
Product Designer,72,Hopscotch,Mumbai,1500000
Senior Visualizer,108,Yorke Communications,Bengaluru,1400000
Mean Stack Developer,48,MedTrail,Delhi,1400000
UI/ UX Designer,108,Excellon Software,Pune,1400000
UI/UX Designer,60,FarmGuide,Gurgaon,1400000
Senior Graphic Designer,96,GrabOnRent,Bengaluru,1400000
Interaction Designer,48,Genpact Digital,Bengaluru,1200000
Senior UX Designer,72,Third I,Pune,1200000
UI Designer,48,HDFC Red,Mumbai,1200000
Interior Design,120,Creatomy,Bengaluru,1200000
Visual Designer,48,Genpact Digital,Bengaluru,1200000
Senior UX Designer,84,StyFi,Mumbai,1200000
Communications Designer,60,Ather Energy,Bangalore,1200000
UI Designer,48,The Luxury Closet,Delhi,1200000
Visualizer / Graphic Designer,60,Wingify,Pune,1200000
Visualizer / Graphic Designer,60,Wingify,Pune,1200000
UI Motion Designer,72,Gravity Consulting,Bengaluru,1200000
iOS Developer - Swift/Fullstack,36,LimeTray,Delhi,1200000
Graphic Designer,48,MedTrail,Delhi,1200000
Senior Graphic Designer,72,Hopscotch,Mumbai,1200000
UX Designer,96,AgroStar,Pune,1200000
senior UX designer,84,testing in prod,Bengaluru,1200000
UI UX Designer,24,orcaso,Chennai,1200000
Interior Designer,60,The Design Room,Bengaluru,1000000
UX Designer,48,Healthi.in,Bengaluru,1000000
UX Designer,60,Think Design,Bengaluru,1000000
UX Designer,60,Think Design,Hyderabad,1000000
Angular JS Developer,60,VideoKen,Bengaluru,1000000
GraphicDesigner,48, Nearbuy,Gurgaon,1000000
Senior Graphic Designer,60,Cornerstone Sports,Mumbai,1000000
UI Developer,60,CoHere Med,Bangalore,1000000
UI / Web Designer,36,Radix @ Directi,Mumbai,1000000
Senior UI Developer,72,Finovera,Bengaluru,1000000
Visual Communication Designer,60,Gravity Consulting,Bengaluru,1000000
Senior Graphic Designer,60,BYJU'S App,Bengaluru,900000
Sr. Graphic Designer,72,Integrated 360365,Mumbai,900000
Front-End Developer,48,Think Design,Mumbai,900000
Sr. Front-End Developer,96,Think Design,Mumbai,900000
3D Visualizer,72,Creatomy,Bengaluru,900000
Senior UI Developer,72,RedBaton,Bangalore,900000
Senior Art Director,96,Get Foolish,Gurgaon,900000
Visual Designer,60,Mindler,Delhi,900000
Senior / Lead Graphic Designer,120,Design Brewery,Gurgaon,900000
